City,Area,Location,No. of Bedrooms,Price
4,1950,288,3,6500000
4,988,329,2,9700000
5,1510,45,3,9546000
4,1709,314,3,11000000
2,1000,426,2,16000000
2,1000,429,2,8320000
3,6200,26,4,6150000
2,1050,431,2,9500000
5,1126,57,3,6193000
4,600,318,2,4475000
2,2030,427,3,36500000
2,635,464,1,4600000
6,2452,214,3,11700000
4,1845,286,2,7500000
5,789,33,2,6099000
2,1125,426,2,38500000
6,1300,214,2,8775000
5,1000,66,2,4700000
4,1920,293,3,4725000
2,620,476,1,6000000
4,1401,311,3,9000000
3,1430,10,3,6983000
5,1069,36,2,6948000
6,1210,200,2,4840000
5,1165,101,2,6300000
2,1050,490,2,14000000
2,1350,422,3,22500000
2,750,475,2,120000000
5,1365,46,3,9691000
6,900,206,2,4500000
4,1094,293,2,3150000
3,1273,2,2,7500000
4,900,328,2,9000000
1,1750,138,3,15500000
5,1058,49,2,6770999
6,1717,202,2,12500000
5,1069,35,2,4665000
4,1123,286,3,5161000
4,1350,291,3,4270000
4,867,292,2,8164000
5,1699,49,3,6847000
4,1182,286,3,4805000
6,1435,197,2,7462000
4,2465,295,4,4300000
4,1455,292,3,8000000
2,750,446,2,11000000
3,1217,2,2,6687000
4,1250,286,3,4469000
2,825,434,2,21700000
4,1780,309,4,46800000
2,1150,431,2,7500000
6,1050,255,2,2200000
1,532,145,2,19700000
4,610,286,2,3200000
4,800,337,2,3018000
4,1350,288,3,11000000
5,1195,33,2,2827000
5,927,70,2,10500000
4,1550,288,3,20200000
2,1600,426,3,16399999
4,2867,313,3,12600000
4,874,288,2,2604000
6,1530,204,3,9800000
5,1881,44,2,12700000
2,534,429,1,7909999
2,1100,431,2,14000000
2,1189,427,3,35700000
5,984,86,2,7600000
4,2410,315,4,7500000
5,700,64,2,2731000
5,2020,79,3,10600000
2,1193,475,3,26500000
4,1170,309,2,4380000
2,930,475,2,39000000
4,1064,287,3,7000000
5,1180,101,3,2400000
4,890,295,2,2073999
2,275,447,1,8500000
5,1624,69,3,27599999
4,1229,286,3,4400000
2,1750,429,3,27000000
5,1021,79,2,6636000
3,1293,4,2,5835000
4,1277,311,3,2777000
4,1500,338,3,6500000
2,1264,475,2,23200000
2,410,428,1,3900000
5,1469,79,3,9548000
5,1555,30,3,5000000
4,1354,286,3,4366000
1,2200,135,4,23500000
5,1850,77,3,4500000
4,830,335,2,6169000
4,1540,290,3,3000000
4,850,288,2,2523000
4,850,298,2,6500000
2,1705,475,4,65500000
2,840,490,2,10900000
4,1265,291,3,2394000
2,580,440,1,2400000
2,600,426,1,15500000
4,1572,296,3,11000000
1,1400,134,3,13500000
4,1050,297,3,5200000
2,650,431,1,5250000
4,938,291,2,3185000
2,1070,441,2,5200000
2,1350,426,3,10000000
6,1800,202,3,10500000
4,900,297,2,7300000
5,1094,38,2,6245000
4,1250,288,3,2604000
5,1280,59,3,3500000
4,1450,288,3,2384000
5,883,94,2,4679000
3,520,6,1,4933000
5,1123,55,2,5100000
4,1342,292,3,5500000
2,935,426,2,13200000
3,1500,4,3,13500000
4,1251,287,3,3162000
4,789,421,2,7295999
5,1136,83,3,3881000
2,1650,475,3,7500000
5,1566,31,3,9055000
1,1600,192,2,4000000
4,1766,288,3,3350000
2,1120,431,2,8500000
2,1766,461,3,28600000
2,595,490,1,11000000
4,919,295,2,2958000
2,2100,430,3,11900000
2,1350,431,2,6300000
4,912,286,3,3876000
4,1004,293,2,10500000
6,850,197,2,3500000
5,4736,38,4,4564000
4,1250,316,3,2700000
4,1635,293,2,11000000
4,1501,411,3,3256000
2,751,446,2,12500000
5,2691,93,4,21400000
5,835,41,2,5476000
5,1052,33,2,5540000
3,1025,6,2,8400000
2,1150,428,3,21000000
4,1615,287,3,2300000
1,900,177,2,17500000
2,1561,428,3,21000000
5,1102,60,3,7163000
2,930,431,2,6200000
2,950,450,2,34800000
2,1250,426,3,7000000
4,1025,290,2,4400000
2,5642,491,6,90000000
2,532,425,2,3500000
2,715,431,1,6000000
4,4310,315,4,4567000
4,815,318,2,9996000
4,1199,286,3,3256000
4,1385,286,3,2300000
4,1100,297,2,4000000
2,980,491,2,8600000
2,725,446,1,6000000
3,1808,3,3,4133000
4,1197,292,3,2631000
5,1100,91,3,4383000
3,1892,2,3,16000000
1,1350,159,3,15200000
2,1150,427,2,3200000
4,1123,291,3,38100000
2,649,446,2,12900000
4,1170,312,3,4500000
1,520,134,1,4300000
4,800,297,2,2334000
4,929,325,2,2405000
2,1177,434,3,107600000
2,750,426,2,10800000
4,2081,288,3,3689000
5,899,39,2,4801000
5,2630,31,4,2142000
4,992,288,2,3495000
5,1538,120,3,12000000
4,1163,287,3,3000000
4,1337,288,3,5200000
3,1388,7,3,4164000
5,1135,55,2,13000000
5,1564,31,3,10400000
6,1260,210,2,7800000
4,5359,314,4,3867000
4,1091,290,3,7198999
2,770,476,2,9250000
2,1075,428,2,9500000
6,1885,214,3,12300000
5,2686,31,4,16800000
6,1120,197,2,3500000
2,1596,426,3,10000000
2,1150,490,2,15500000
4,1580,295,3,3659000
5,1320,39,3,5508000
2,1000,451,2,26000000
1,1800,134,3,11500000
3,655,2,2,10600000
4,800,335,2,2500000
5,895,50,2,6912000
2,666,446,1,11500000
2,920,431,2,5000000
3,1223,29,2,12000000
5,925,41,2,4999000
4,1028,309,3,4500000
2,1155,431,2,9000000
5,1070,103,2,6400000
4,2028,290,4,9498000
4,1068,293,2,7554000
5,1255,93,2,24600000
5,1221,52,2,4394000
2,764,429,2,16800000
4,1200,327,3,3411999
4,1956,288,3,12500000
2,750,422,2,15500000
4,833,309,2,5350000
3,3608,14,4,21200000
6,1100,199,2,4950000
4,1850,317,4,4299000
2,426,425,1,4656000
4,1140,288,2,17600000
4,1525,314,3,8500000
1,820,172,2,3800000
4,900,286,3,7500000
4,1780,309,4,5510000
4,1440,289,3,2000000
5,789,94,2,11500000
5,822,50,2,6583000
6,3959,214,4,35000000
6,1471,220,3,6500000
4,997,309,3,4923000
5,884,87,2,4650000
1,1000,142,3,5500000
4,840,287,2,16000000
6,1250,216,3,5500000
4,882,287,2,12500000
4,1669,286,2,5200000
5,645,27,2,7250000
3,1565,2,3,5365000
4,840,287,2,2650000
2,980,490,2,19500000
5,800,62,2,4125000
1,900,141,3,16500000
4,2345,290,3,3168000
5,1641,98,3,8675000
2,510,425,2,3300000
5,1496,70,3,6739000
4,1454,290,3,3600000
4,1674,321,3,85300000
1,1442,191,3,17500000
4,1333,288,3,4368000
5,2788,68,4,24000000
3,2088,12,3,16299999
5,1115,40,2,9515000
4,1500,304,2,20000000
2,340,428,1,4200000
4,2234,290,3,14600000
2,225,426,1,2300000
6,1530,201,3,7588000
4,935,292,2,11600000
6,1620,243,3,9351000
5,893,39,2,5482000
2,800,478,2,5900000
5,2712,93,4,12000000
2,1444,490,2,2836000
4,1753,290,3,7500000
3,950,6,2,8083000
4,1754,295,3,6327000
6,1725,239,3,10000000
4,1697,288,3,8100000
6,2500,198,3,20000000
2,225,490,1,12500000
4,1330,288,3,4539000
5,2400,82,3,12100000
2,900,429,2,13000000
2,555,474,1,3800000
4,1630,296,3,13500000
5,1100,55,2,6342000
4,1125,297,3,6133000
4,996,309,3,2500000
5,1796,38,3,11200000
4,1260,300,3,2867000
4,1250,300,3,3200000
6,1104,214,2,4968000
4,917,286,3,2650000
5,1100,70,3,4510000
1,1650,137,3,10000000
2,1400,428,3,14500000
4,840,305,2,6000000
4,1785,309,4,2500000
4,1663,288,3,2633000
5,1818,42,3,24500000
4,1098,287,3,6500000
3,7700,9,4,157700000
6,1100,251,2,4070000
5,1348,31,3,9055000
4,1065,323,2,3900000
4,710,335,2,2600000
2,1140,431,2,9800000
2,550,431,1,5100000
2,980,426,1,13000000
4,1450,290,3,5839000
2,390,464,1,21500000
4,1275,290,3,11000000
5,886,70,2,7108000
5,1850,37,3,2840000
4,1080,290,2,4500000
2,216,481,1,3600000
4,1440,289,3,4356000
4,1527,290,3,2600000
4,1110,287,3,6669000
1,1150,148,2,11000000
2,800,446,2,15000000
4,2052,290,4,3495000
4,1046,288,1,5035000
1,1550,134,3,17000000
2,1648,475,4,44300000
6,1360,201,2,8900000
5,1699,49,3,46600000
5,588,46,2,3700000
5,954,60,2,4500000
6,1520,202,2,9800000
4,821,319,2,3258000
5,938,39,2,4408000
3,1065,23,2,5578000
4,1080,290,2,8400000
4,1880,307,3,4700000
5,1158,49,2,6241000
2,975,425,2,2451000
2,750,481,2,5700000
2,505,448,1,2170000
4,949,290,2,3967000
4,1316,295,2,2499000
3,1140,1,2,6128000
4,1180,297,3,4699000
4,986,286,2,4747000
6,2115,208,3,14000000
3,1260,0,2,6287000
2,525,429,1,20000000
1,850,137,3,4500000
4,1655,288,3,85300000
2,1000,446,2,30000000
2,826,491,2,11900000
5,1658,38,3,5475000
6,3430,198,3,36000000
5,899,59,2,6593000
4,2200,288,3,7500000
3,1995,3,3,14100000
4,1455,293,3,8176000
4,836,292,1,3023000
5,1021,37,2,6850000
2,1850,457,4,4850000
1,1350,136,3,53500000
5,869,94,2,6385000
6,1165,197,2,4044000
4,750,403,2,6169000
6,2120,204,3,14500000
5,655,39,1,7156000
5,1443,38,3,7000000
6,970,201,2,5253000
2,1177,434,3,47900000
1,750,160,3,2500000
6,1460,235,3,11200000
1,2000,138,4,22500000
5,1767,79,3,9276000
2,1450,475,2,8300000
2,1220,442,2,9100000
4,1086,294,3,3475000
5,2052,113,4,25600000
2,727,496,2,2400000
5,1288,31,2,7997000
6,1575,226,3,8031999
4,869,290,2,3260000
5,1382,34,3,6495000
4,750,304,1,6934999
2,1215,431,2,3424000
4,1574,288,3,2300000
2,1065,429,3,7400000
1,1550,145,3,8500000
4,1173,297,3,3600000
2,950,432,2,8500000
1,516,164,1,4000000
2,850,430,2,11000000
6,2050,214,3,14000000
2,1627,429,3,46300000
5,563,76,1,2740000
6,1010,212,2,2020000
4,1264,298,3,4319000
6,1368,243,3,3900000
5,702,45,2,3200000
5,1323,50,3,7936000
4,850,342,2,4000000
5,1337,76,3,6343000
4,1173,299,3,8295000
2,910,455,2,5500000
2,1200,435,2,42000000
3,6500,9,4,60100000
2,1290,490,1,4900000
2,1125,434,2,145000000
4,5359,314,4,3296000
2,1080,457,2,4000000
4,950,288,1,2000000
5,1130,101,3,3975000
6,1900,214,3,7000000
5,1506,41,3,9329000
4,1424,290,3,4043000
6,1630,259,3,5200000
3,998,3,2,9579000
5,950,101,2,5991000
4,1987,290,3,4000000
3,1390,7,3,4944000
2,492,432,1,23500000
4,1170,309,2,11000000
3,1730,13,3,15500000
5,1986,42,3,22799999
4,624,335,2,2600000
1,516,164,1,4700000
4,1785,309,4,3584000
2,1650,431,3,7700000
2,650,490,1,15900000
4,1800,307,3,5900000
2,1635,431,3,14800000
6,1000,229,2,4000000
5,970,109,2,4656000
5,745,87,2,3650000
4,1460,288,3,4500000
4,1357,407,3,5500000
5,4321,38,4,4640000
5,639,49,1,4690000
4,1628,288,3,15500000
6,1000,255,2,2300000
4,2168,290,3,12200000
2,1180,431,2,113400000
4,999,309,3,2985000
6,2250,199,3,12500000
4,895,297,3,4300000
4,2520,293,4,2147000
5,980,38,2,5900000
5,1532,68,3,23700000
2,980,428,2,15500000
5,1135,39,3,5380000
5,850,39,2,11000000
5,1550,63,2,7000000
4,1825,288,3,4350000
5,896,41,2,7665000
4,3600,307,4,6000000
5,721,70,2,3881000
4,730,329,2,4894000
2,913,428,2,52500000
4,1500,296,4,12700000
4,826,299,2,6723999
4,1454,290,3,7300000
4,1010,286,2,5400000
4,1610,287,3,8400000
2,635,425,1,3622000
5,1355,63,3,5825000
4,1074,290,3,5070000
5,1492,37,3,9606000
2,1350,216,3,18000000
5,833,91,2,3152000
4,1327,286,3,3158000
4,1177,297,3,4761000
2,1721,432,3,11000000
2,688,431,1,3700000
4,1272,295,2,12800000
2,2285,436,3,65000000
5,1217,59,2,10000000
4,1259,288,3,2656000
1,1800,135,3,15500000
6,1145,197,2,3800000
1,2200,138,4,19500000
4,1230,303,3,7800000
2,1190,430,2,16000000
4,1785,309,4,5445000
1,818,145,2,3071000
5,1231,41,3,5783000
2,1361,432,2,43000000
5,850,39,2,4079999
4,1105,297,3,3952000
6,1500,222,3,6200000
2,680,441,1,2300000
2,1050,468,2,16500000
1,2600,138,4,3650000
2,640,428,1,29900000
4,690,297,1,6979000
2,955,474,2,10700000
4,1254,298,3,2800000
3,1180,12,2,8100000
6,1782,201,3,15400000
4,732,287,2,7100000
4,1315,298,3,5500000
5,870,55,2,4872000
6,1100,197,2,3800000
4,1435,295,3,6950000
5,1130,55,3,6366000
4,920,286,2,3018000
1,900,141,3,2400000
2,1250,475,3,2999000
5,3050,75,3,54900000
3,2190,2,3,6656000
4,1350,385,3,10000000
4,1309,340,3,4200000
5,1021,46,2,3900000
6,2200,207,3,17000000
6,1090,201,2,7317000
3,1300,5,2,7015000
2,687,431,1,4800000
3,1185,25,2,3900000
3,1759,11,2,22000000
3,1205,12,2,11399999
4,800,329,2,3500000
2,835,425,1,3690000
5,865,115,2,5644000
2,1100,430,2,19200000
2,829,428,2,15100000
2,725,431,1,13799999
2,550,495,1,5950000
3,1482,25,3,7545999
5,1025,113,2,3900000
2,465,464,1,4800000
4,997,297,2,5800000
4,876,286,3,5200000
3,1459,2,3,40599999
5,950,58,2,11000000
6,2800,214,3,13400000
4,1270,288,3,2550000
2,1250,427,2,7700000
4,1020,297,2,2419000
6,1725,226,2,8452000
4,1947,293,4,2000000
5,550,63,1,3500000
2,894,475,2,59700000
4,1757,288,3,7500000
2,1140,486,2,29000000
2,650,426,1,19100000
5,1296,31,3,8158000
6,1592,201,3,10900000
1,516,164,1,3700000
4,949,293,2,7200000
4,887,290,2,9595000
5,1565,79,2,8216000
4,813,298,2,4872000
5,2062,36,3,22000000
2,413,464,1,4100000
4,700,324,2,6200000
4,1322,292,3,2384000
4,1707,296,3,3672000
2,1180,439,2,18000000
2,3400,431,4,8500000
5,885,41,2,5476000
4,920,293,2,3032000
4,1010,288,1,9000000
4,750,27,2,10800000
1,1200,143,3,298500000
4,1485,414,3,2160000
3,1249,8,2,17400000
5,1586,52,3,5708000
4,1268,287,3,47000000
5,2616,31,4,3289000
4,812,310,2,3700000
4,1265,288,3,2300000
2,665,425,1,3829999
1,2800,135,5,28000000
4,1424,287,3,6000000
6,4700,225,4,55000000
5,415,47,1,5196000
3,1350,0,2,6061000
4,1281,293,3,8700000
4,1630,296,3,4700000
5,1058,110,2,3671000
2,1450,444,2,9000000
4,2250,290,3,3000000
1,1650,134,3,19000000
6,1555,227,3,6931000
5,1158,49,2,4942000
4,888,351,3,11000000
4,2235,290,3,3584000
3,1182,7,2,13000000
5,967,63,2,5420000
6,1050,202,2,3148000
3,7000,27,4,4144000
3,1469,3,3,9719000
5,1348,31,3,8462000
4,1184,27,3,3500000
6,1110,216,3,6290000
4,1415,317,3,5300000
5,1295,39,2,5363000
2,1500,471,3,38000000
2,1100,431,2,8500000
5,1483,53,3,14300000
3,1399,7,3,8120000
2,700,431,1,8900000
2,1150,458,2,115000000
4,1078,292,3,3300000
4,1017,292,2,30000000
2,720,432,2,14500000
5,840,35,2,6720000
4,1415,288,3,28600000
2,695,441,1,6300000
5,975,35,2,3300000
6,1971,199,3,8278000
4,1170,309,2,3260000
5,1250,51,3,5304000
2,1200,428,2,13899999
4,2452,290,4,2300000
2,1050,427,3,26000000
4,1175,297,3,9000000
4,1400,288,3,2000000
4,1643,290,3,4200000
2,1278,446,2,26800000
4,870,325,2,4380000
6,1150,198,2,9000000
4,1719,295,3,8300000
6,1492,202,2,9908000
4,875,331,2,2316000
3,937,2,2,5322000
4,1125,297,3,5905000
2,893,436,2,16500000
2,949,446,3,80000000
4,1332,300,3,2100000
5,1130,55,3,8792000
4,1350,297,3,7800000
4,888,291,2,6912000
4,1281,293,3,5206000
1,900,154,2,2400000
5,830,59,2,5200000
4,869,309,2,2254000
4,1435,295,3,85300000
5,855,63,2,6572000
5,1294,50,3,5800000
3,1199,3,2,9530000
5,1141,71,2,6083000
4,3440,314,5,2151000
3,1718,14,2,46300000
4,2620,290,4,4500000
4,1527,290,3,4300000
4,581,286,2,2907000
2,937,430,3,4199000
2,565,447,2,6900000
2,632,446,1,17500000
4,1263,286,3,3022000
4,826,299,2,14300000
4,1193,311,3,7852000
5,1647,69,3,27900000
5,1507,37,3,8226000
2,930,445,2,4200000
4,979,395,3,5500000
5,571,46,1,3400000
2,660,486,1,6000000
6,1050,227,2,4600000
4,1103,288,2,3414000
5,1375,37,3,4794000
3,1099,7,2,3100000
2,1804,426,3,42500000
6,2000,205,3,8400000
4,1216,288,2,85300000
4,1615,288,3,14600000
6,1000,217,2,2500000
4,1192,286,3,4650000
5,1753,39,3,4508000
1,1850,169,3,5500000
4,1194,407,2,3960000
4,2105,293,4,2151000
4,1575,338,3,8400000
5,861,62,2,4061000
3,3895,9,4,36000000
3,4000,4,4,5891000
4,861,292,2,4047999
6,1010,227,2,4542000
4,1420,288,3,4383000
2,680,431,1,7500000
5,1190,49,2,5334000
3,1705,2,3,8000000
2,1000,464,2,5675000
2,905,427,2,2750000
2,1435,457,3,60100000
4,1322,292,3,25000000
4,850,288,2,2622000
5,1190,37,2,7148999
5,575,76,1,2600000
5,760,74,2,3776000
6,1865,198,3,12100000
2,374,425,1,9774000
4,1262,288,2,2500000
3,3870,9,4,38900000
2,405,428,1,22200000
5,892,73,2,5101000
2,1150,431,2,6800000
3,4000,4,4,40300000
4,1100,288,3,5400000
3,2666,3,3,22599999
4,1479,286,3,9356000
2,3168,469,5,52500000
4,965,317,3,5335000
5,1496,53,3,15800000
2,765,428,1,9000000
1,1000,178,2,35000000
4,743,288,2,5270000
4,2459,314,3,8528000
2,700,486,1,21000000
2,750,426,1,13700000
2,510,429,1,8100000
4,1280,295,3,2020000
4,700,286,3,4156000
4,1715,286,3,3200000
2,756,457,2,11000000
5,1504,49,3,11500000
2,600,464,1,3800000
5,2458,82,3,33600000
5,1150,32,3,3795000
4,999,291,2,3396000
3,931,3,2,9529000
2,3100,497,4,15500000
4,1464,288,2,5450000
2,1350,446,3,16000000
1,8000,146,5,280000000
1,675,148,2,3550000
5,555,76,1,2703000
4,950,335,2,4212000
5,878,55,2,27000000
3,1017,7,2,4500000
4,1394,329,3,4899000
2,1700,431,3,35000000
6,3900,207,4,41500000
4,950,329,2,3800000
2,910,490,2,3600000
2,930,475,2,7500000
6,1279,201,2,8823000
4,870,311,2,3650000
4,905,309,3,3450000
2,1250,427,2,2476000
5,2150,49,3,17500000
5,2154,38,4,7809999
4,1007,332,2,10000000
2,500,468,1,8900000
5,568,76,1,2763000
1,1600,135,3,14500000
4,1130,293,3,21500000
4,650,305,3,4800000
4,900,286,2,2200000
4,1421,317,3,6500000
2,1600,475,3,37000000
3,1450,2,3,4511000
1,1950,185,4,17500000
4,1474,290,3,9000000
5,1122,63,2,5780000
5,1775,55,3,19000000
6,2607,214,3,12500000
2,3000,430,5,12800000
5,1500,48,3,18300000
2,1050,422,2,21400000
5,1025,37,2,6662000
2,1100,431,2,18200000
4,930,395,3,7500000
2,625,446,1,27000000
2,1500,446,3,16500000
1,900,137,2,14200000
6,8500,213,6,29000000
2,450,446,1,15400000
4,999,309,3,7100000
5,1524,36,3,3713000
5,925,101,2,5600000
4,777,286,2,3611999
4,1135,297,3,6820000
2,1020,446,2,4000000
6,2690,202,3,20000000
2,780,427,2,7500000
4,951,290,2,7419000
4,770,297,2,16299999
4,600,288,2,9800000
2,940,488,2,3100000
2,1440,426,2,42000000
2,1600,446,3,18900000
4,1416,295,3,6000000
4,924,335,2,4500000
2,650,431,1,79000000
5,766,87,2,4276000
4,1100,311,2,6500000
1,1800,136,3,14000000
2,1050,490,2,20000000
4,750,310,2,2200000
4,1300,288,3,13000000
5,615,37,1,3871000
5,1018,55,2,57600000
4,1269,286,3,6500000
5,1270,110,2,6312000
1,2000,138,3,16500000
6,1652,201,3,9581000
1,1350,146,2,15100000
4,800,295,2,4650000
4,4300,315,4,25000000
1,1600,135,3,14800000
2,962,505,2,2100000
4,1230,335,3,3600000
4,875,288,2,5500000
2,1750,429,3,7600000
1,1680,155,3,5600000
6,1050,197,2,3500000
4,1375,300,3,2548000
2,1100,426,2,11700000
2,1150,490,2,18500000
5,830,87,2,5285000
6,1100,240,2,5700000
4,1080,286,2,11600000
2,1777,430,3,4665000
6,2020,214,3,10500000
2,510,427,1,12600000
2,1705,475,4,54500000
5,706,41,2,7420000
3,1490,3,3,8195000
4,1000,288,2,4464000
2,1150,446,2,7500000
4,1565,407,3,6094000
4,910,288,2,3055000
5,1048,50,3,5921000
6,1106,197,2,3849000
2,1070,185,2,10600000
4,1274,288,3,2635000
1,800,139,3,6500000
4,1595,27,3,9000000
5,1808,44,3,19800000
5,855,63,2,6800000
2,510,455,1,3565999
6,1925,201,3,10000000
5,1085,59,2,7052000
1,1800,187,2,220000000
5,1220,32,2,5000000
4,771,300,2,2208000
2,768,475,2,3600000
1,600,136,3,12500000
2,2730,432,4,37000000
3,6116,14,4,57500000
4,960,286,2,3174000
6,1130,250,2,4600000
6,1080,217,2,3500000
1,520,134,1,3900000
5,1517,53,3,16000000
6,1880,214,3,21400000
3,990,7,2,16100000
2,350,428,1,3700000
4,1572,296,3,4560000
2,865,432,2,2804000
1,1400,137,2,7000000
4,824,286,2,2985000
5,1232,68,2,4722000
4,931,286,3,3700000
4,1013,299,2,7830000
5,886,70,2,3986999
2,550,447,2,6600000
3,1143,12,2,4318000
1,833,145,2,2600000
1,1600,136,3,33500000
4,800,329,2,2755000
5,1058,49,2,7403000
2,935,426,2,8600000
5,1200,107,2,23000000
2,2415,429,4,29500000
2,510,425,2,3797999
4,944,292,2,6094000
