City,Price,Area,Location,No. of Bedrooms
5,3372999,549,37,1
4,2300000,1385,7,3
1,8000000,965,3,2
2,11000000,1127,8,3
6,8707000,1290,9,2
4,3450000,1301,6,3
2,16500000,2590,48,6
4,2958000,919,17,2
4,4846000,1172,13,2
4,5444000,941,14,3
5,5527000,930,11,2
3,7965000,4465,4,4
6,15000000,2566,49,4
5,25299999,4658,84,1
3,5000000,1006,14,2
5,51600000,1600,5,3
1,2240000,1000,3,3
3,28000000,3381,17,4
5,9900000,1100,5,3
2,25500000,1600,8,3
1,8800000,1400,16,3
5,3800000,1097,23,2
4,7000000,1310,31,2
6,6000000,1300,49,2
5,2962000,1599,37,3
4,3900000,1114,35,2
4,2800000,1254,93,3
6,10700000,1250,70,2
6,20000000,2607,9,3
2,22500000,1792,8,3
2,4000000,350,17,1
4,5073000,972,93,3
2,2150000,580,81,1
4,4200000,1314,136,3
4,8500000,5359,1,4
2,16500000,1050,20,2
5,4079999,850,145,2
3,12500000,1320,93,3
2,16000000,1944,49,4
4,3372000,1900,1,3
4,2875000,1177,82,3
4,3268000,1055,7,2
5,16399999,1215,3,3
4,12700000,915,19,2
4,5300000,807,44,2
4,8001000,944,19,2
5,3772000,1094,83,3
2,3500000,532,95,2
4,4360000,1785,13,4
1,3700000,700,24,2
5,11000000,1435,31,3
2,20700000,1088,18,3
4,4169000,1249,13,3
5,5300000,1172,58,3
2,8200000,2065,78,3
4,6750000,1454,86,3
2,10000000,650,7,1
4,2524000,2048,17,4
4,7551000,885,6,2
2,2888000,700,100,1
4,6900000,1177,82,3
5,8400000,1504,31,3
5,13000000,2200,11,3
4,3300000,2125,86,4
5,6956999,1100,23,2
4,16000000,2429,6,4
4,3500000,1600,8,3
4,13600000,892,205,2
5,33300000,1889,117,3
5,20200000,1304,23,3
5,6400000,1070,129,2
2,4380000,650,35,2
5,4794000,996,153,2
2,55000000,800,22,2
2,110000000,1118,2,3
4,7100000,789,13,2
5,6076000,1266,96,3
5,3779999,1004,153,3
1,2100000,650,56,2
4,3900000,2898,86,3
4,7198999,1091,86,3
4,3622000,944,86,2
5,8313000,598,84,1
4,9985000,1707,21,3
4,3049000,1079,7,2
3,4900000,1417,14,2
2,8600000,945,35,2
5,32400000,4451,117,4
4,2000000,1947,31,4
5,4635000,872,12,2
2,17600000,649,22,2
6,10700000,1905,21,3
6,4284000,1020,50,1
6,9300000,1470,70,3
4,6500000,1950,6,3
4,21500000,1021,27,2
5,10300000,1740,84,3
5,4069000,830,145,2
4,9000000,1021,31,3
4,8700000,1100,6,3
4,6075000,941,86,3
1,13500000,1400,46,3
2,14500000,1000,97,2
5,9515000,1115,73,2
2,3000000,1050,69,2
2,2600000,1295,8,3
4,3811999,1040,94,2
5,3913000,1642,117,3
5,6325000,1255,108,2
4,3500000,1101,80,3
3,12900000,720,18,1
5,3544000,1212,28,2
4,5222000,1067,86,2
4,3500000,1393,31,3
4,2300000,1615,11,3
5,7997000,1288,37,2
3,6299000,1136,13,2
2,20000000,1100,18,2
2,9500000,548,37,1
6,4000000,1195,101,3
4,8700000,1100,6,3
4,2790000,1955,6,3
4,5500000,2357,121,4
5,8400000,938,106,2
4,17100000,2585,13,5
4,3000000,965,22,2
4,2699000,1101,93,3
4,3575000,1450,13,3
4,2947000,1534,92,3
4,11700000,1173,13,3
3,15500000,968,11,2
6,7500000,1500,13,2
5,4011999,1056,59,3
5,8417000,1334,36,2
3,3613000,760,7,1
4,3100000,1243,6,3
4,13200000,967,19,2
3,6800000,1095,30,2
6,4830000,1100,21,2
6,15000000,1000,3,1
1,330000000,1800,26,3
2,4000000,1975,88,3
2,3500000,575,44,1
3,7884000,990,11,2
6,4850000,1425,53,3
5,6567000,1027,37,2
4,6094000,1565,37,3
2,4600000,1763,48,4
2,8500000,275,27,1
4,6000000,1100,86,2
1,5000000,580,46,1
1,2450000,1125,3,4
4,7945999,2773,157,4
3,6325000,1270,5,3
4,25000000,916,44,3
4,3777000,970,11,3
2,5600000,670,69,1
5,16000000,1516,16,3
5,7678000,889,41,3
4,4300000,895,23,3
4,4689000,1607,13,3
4,54200000,1085,31,2
5,8222000,1265,168,3
4,5808000,1441,31,3
4,3679999,1350,23,3
6,5500000,1060,24,2
5,9831000,1566,37,3
5,7104000,790,52,2
5,7420000,706,38,2
4,2171000,815,19,2
2,8500000,1843,3,4
4,3850000,800,104,2
5,90000000,3800,7,4
2,28000000,1250,69,2
6,43500000,4070,5,4
4,8799000,2152,6,3
5,4943000,929,145,2
4,2400000,992,6,2
5,5482000,893,145,2
6,6500000,1380,66,3
2,8200000,2065,78,3
4,5500000,1073,12,3
4,8700000,2726,12,4
2,7700000,1225,78,3
4,8600000,1015,7,2
5,6572000,855,52,2
5,7213000,721,12,2
4,2400000,1050,56,3
4,18300000,1228,86,3
4,8500000,800,8,2
4,4608000,935,19,2
4,2799000,975,7,2
4,85300000,1655,6,3
4,4700000,1149,182,3
5,3224000,589,67,1
4,3011000,1350,17,3
6,4070000,1100,20,2
4,6800000,840,93,2
3,6695999,1505,20,3
3,2901000,967,13,2
6,17500000,2607,9,3
6,17500000,2600,2,3
3,14500000,1950,24,3
5,13799999,1566,37,3
2,9500000,1250,41,2
4,3150000,800,23,2
5,4904000,1091,31,2
5,6006000,868,129,2
5,9086000,1298,8,3
6,17700000,2729,4,4
6,40000000,4320,105,4
2,2400000,1120,48,3
2,18900000,669,37,2
6,8273999,1970,49,3
1,16500000,2200,51,4
4,3110000,613,7,2
2,6000000,640,37,1
5,4900000,811,38,2
4,3400000,1350,6,3
2,5300000,650,95,1
4,7500000,1471,17,3
2,4100000,350,17,1
5,6131000,951,47,2
4,3023000,836,19,1
5,3000000,872,12,2
5,12000000,1240,108,2
4,2875000,1177,82,3
4,3872000,953,148,2
1,2900000,799,16,2
6,4700000,1220,24,2
3,35300000,1249,2,2
4,3636000,1208,113,3
2,18700000,225,37,1
4,7459999,1360,31,3
6,14700000,2192,9,3
5,6570999,1399,46,3
3,6500000,520,25,1
3,4100000,1417,18,2
5,4700000,1546,52,3
5,2456000,646,59,1
4,2804000,924,148,2
1,8000000,900,21,2
2,3800000,335,17,1
2,36500000,832,14,2
5,5900000,980,117,2
6,11299999,1490,9,3
4,11000000,1441,31,3
2,14000000,535,32,1
5,4950000,570,47,1
4,3050000,1000,6,2
4,4900000,860,13,2
4,4452000,960,7,2
5,11000000,2600,5,3
4,2780000,1160,19,2
4,8465000,920,17,2
2,31200000,1361,8,2
5,14300000,1850,71,3
4,4360000,1310,31,2
4,4984000,1100,2,3
5,11500000,1850,71,3
3,11900000,1839,2,3
2,11500000,540,31,1
6,7962000,1435,21,3
4,8300000,2273,6,3
4,2787000,945,19,2
4,85300000,1925,6,5
3,11399999,1205,14,2
4,2160000,1485,137,3
4,3225000,888,13,2
4,12000000,1475,5,3
2,5500000,650,77,1
2,3050000,1115,35,2
5,16600000,2640,37,4
2,3800000,727,37,2
5,9736000,2475,11,4
2,4500000,450,69,1
4,3672000,1707,21,3
2,14900000,650,35,1
4,4675000,770,23,2
5,20000000,1560,75,3
5,4955000,990,108,2
2,4800000,1950,8,4
2,6600000,733,7,2
4,8700000,1281,31,3
4,3032000,1000,85,3
2,7500000,680,69,1
4,3049000,915,11,2
6,5000000,970,49,2
5,4276000,2056,7,3
6,8400000,1208,21,2
5,6428000,1024,37,2
5,3443000,900,125,2
2,60700000,1174,8,3
6,12500000,2160,23,3
4,6274000,1173,85,3
2,3000000,600,27,1
1,17500000,1900,31,3
5,5380000,1210,47,3
3,30299999,3800,18,4
5,6628000,1850,71,3
5,12000000,1170,58,3
5,4934000,1100,23,2
2,4800000,925,69,2
4,15700000,1977,3,3
6,40000000,3600,2,4
4,2631000,1197,19,3
4,2200000,1056,13,3
6,9525000,1905,21,3
6,6165000,1150,70,2
6,7400000,1615,77,3
3,17300000,2238,11,4
6,27500000,2655,5,3
6,3690000,3190,5,3
5,3802000,998,153,3
4,6484000,2210,31,4
2,31200000,1361,8,2
2,5200000,650,35,1
4,3651000,1133,13,3
2,9200000,1444,7,2
6,5623000,1125,64,2
4,14200000,4320,40,4
5,4075000,1060,145,3
5,6770999,1058,31,2
4,9495000,1073,5,2
4,30000000,888,13,3
2,3500000,410,35,1
4,2758000,2889,86,4
4,11500000,1450,6,3
6,10500000,2192,9,3
4,6600000,950,6,1
2,21400000,1100,37,2
4,2133000,830,44,2
2,6900000,1055,69,2
4,2210000,775,93,2
5,4999000,1022,145,2
5,12600000,1068,28,2
5,8500000,696,28,2
4,8856000,873,7,2
6,4300000,1090,24,2
5,6000000,1265,8,3
3,4260000,1482,111,3
1,4000000,810,59,3
4,5012000,2231,73,3
4,3350000,1045,19,3
2,41000000,1030,1,2
4,12900000,800,94,2
1,34500000,1650,52,2
6,10900000,1695,29,2
5,7433000,988,47,2
4,6900000,620,94,2
5,4000000,1060,47,3
5,3200000,790,52,2
5,3000000,872,12,2
2,3500000,688,84,1
2,25500000,970,7,2
5,4950000,570,47,1
6,30000000,4400,21,4
2,3000000,738,77,1
4,2200000,770,82,2
6,4400000,1100,24,2
6,3500000,1085,87,2
5,33300000,1552,117,3
4,8528000,1105,6,2
6,10500000,1730,21,3
2,33400000,1020,7,3
6,9156000,2180,56,3
2,3100000,1355,36,3
2,13200000,1260,55,2
3,8120000,1650,22,3
6,4600000,1100,35,2
1,23000000,2300,51,4
2,15000000,1470,8,3
4,5000000,2889,86,4
4,7500000,836,6,2
2,8400000,2195,36,3
6,12500000,2160,23,3
1,4000000,450,47,2
3,4133000,1808,11,3
6,8700000,1530,9,3
5,8924000,4026,117,4
5,6100000,804,23,2
1,27500000,2450,25,3
4,4518000,2074,17,4
4,8563000,2524,86,4
5,4787000,1181,153,3
3,3060000,1535,13,3
2,39000000,1166,8,2
5,48000000,2527,10,4
5,7900000,1500,2,3
2,8200000,685,37,1
1,17000000,1894,52,3
4,2550000,700,112,2
1,89000000,1100,16,2
4,3250000,1290,86,3
4,26100000,916,7,3
6,9600000,1700,83,3
2,7500000,350,38,1
4,2800000,922,86,2
2,10500000,600,35,2
2,26000000,1400,37,2
2,13500000,610,71,1
6,8800000,1260,4,3
6,3500000,1015,24,2
2,107600000,1177,12,3
5,7569000,1400,34,3
5,5444000,914,108,2
6,9500000,2000,21,3
5,9500000,1050,117,2
5,3285000,876,47,2
4,12300000,2253,86,3
1,3600000,500,56,2
2,100000000,400,66,1
3,3100000,1614,20,3
5,2142000,2630,37,4
6,11700000,2452,9,3
6,7000000,1400,49,2
1,25000000,1950,25,3
2,14000000,2200,32,4
2,8300000,1450,8,2
5,7809999,2154,117,4
2,80000000,800,45,2
6,3200000,1200,134,3
3,34500000,2503,2,4
4,6900000,1956,6,3
5,12900000,2250,117,3
1,2600000,2700,28,2
4,4527000,1066,54,3
2,5200000,1085,69,2
6,11000000,1334,3,2
3,19800000,1500,15,3
2,5100000,1350,69,2
4,4500000,1100,17,3
1,13500000,1600,52,3
4,6938000,1180,6,1
5,9746000,1645,117,3
5,5808000,721,12,2
2,5300000,1100,18,2
4,3147000,931,198,2
2,4500000,600,35,1
2,2350000,1950,59,3
4,41700000,1031,31,2
5,24600000,900,47,2
2,19700000,709,36,2
5,5345000,1028,144,2
2,27799999,707,8,2
4,3822000,1365,93,3
2,14000000,1010,37,2
2,5299000,1060,35,2
4,9350000,2052,86,4
6,3500000,1085,24,2
2,5800000,1060,77,2
3,7450000,2850,18,3
6,5900000,1200,13,2
2,9000000,1750,69,3
4,12600000,2867,2,3
2,10800000,655,35,1
4,3689000,2081,6,3
1,2400000,600,59,2
6,8800000,1560,29,3
5,8900000,921,69,2
4,2615000,1140,113,3
5,29200000,721,12,2
2,4600000,600,22,1
3,2874000,958,13,2
2,15000000,1050,69,2
4,2000000,652,80,2
3,6403000,1482,111,3
3,7840000,1170,20,2
2,28000000,1250,69,2
2,36000000,994,18,2
2,25000000,1070,7,2
5,30000000,3487,31,3
1,25000000,1950,25,3
2,14100000,695,22,1
5,8052000,940,71,2
5,3200000,979,16,2
5,10300000,1124,73,3
4,7727000,1424,6,3
5,3159000,922,144,2
3,6700000,645,25,1
2,43000000,1250,8,2
6,5500000,1050,21,2
5,7065000,990,47,2
5,6500000,1168,59,2
1,12000000,1638,40,2
5,4255000,1443,52,3
4,4696000,1114,23,3
2,7700000,1065,35,2
4,2524000,1012,35,2
2,8700000,550,2,1
4,6000000,901,23,2
5,4500000,1518,64,3
4,18000000,900,23,2
4,10100000,1303,31,2
5,4000000,748,145,2
2,30000000,960,9,2
4,3200000,1284,17,3
2,9000000,640,18,1
4,6750000,949,31,2
4,2790000,730,92,2
5,17100000,2580,71,4
2,14900000,650,35,1
3,157700000,7700,18,4
5,9900000,1100,5,3
1,3325000,549,14,2
2,12400000,510,95,2
2,16399999,751,22,2
6,6000000,1050,6,2
1,17200000,1250,52,2
5,4955000,990,108,2
4,4200000,997,13,3
4,7500000,1844,6,3
5,23200000,1545,2,3
4,2700000,800,80,2
4,3200000,1284,17,3
1,324500000,7251,3,5
4,3077000,1785,13,4
4,5266000,884,6,2
4,2700000,660,86,1
2,13000000,980,13,2
5,19000000,1850,11,3
4,2000000,750,122,2
2,8000000,1050,69,2
4,10100000,1362,11,3
2,9200000,400,52,1
4,14000000,1451,6,3
2,4200000,663,35,2
5,7500000,1244,108,2
2,2400000,520,81,1
4,11700000,888,86,2
4,3122000,1572,21,3
4,13500000,950,31,2
5,34200000,1644,117,3
4,7077000,1058,13,3
4,4122999,760,35,2
2,19200000,1365,78,3
5,6863000,1606,5,2
2,12000000,510,18,1
4,2000000,1110,13,2
4,4800000,1947,31,4
4,3000000,1623,6,3
5,13300000,1846,71,3
4,3800000,740,23,2
4,2499000,1316,17,2
1,12000000,820,25,2
4,2524000,997,13,3
5,32200000,1859,117,3
2,14600000,750,32,1
6,4620000,1620,64,3
2,19000000,1509,8,3
4,6950000,1435,17,3
3,8606000,1357,11,2
2,9774000,374,95,1
4,7738000,970,6,2
2,8800000,670,69,1
5,3945000,939,12,2
4,4914000,997,13,3
6,19500000,2350,3,3
5,4331000,891,108,2
4,2600000,1100,126,3
6,4044000,1165,24,2
3,5462000,1003,21,2
4,6200000,1522,6,3
6,4500000,1080,18,2
6,5700000,1225,14,3
2,3615000,710,71,1
4,6000000,962,54,3
5,10500000,1749,31,2
4,4603000,899,23,2
6,30000000,4500,9,4
4,4791000,1269,6,3
2,20000000,1000,22,2
2,11500000,540,31,1
5,16500000,1431,14,2
2,8500000,650,69,1
2,19200000,1365,78,3
4,5000000,1400,16,3
4,4675000,1121,5,2
1,3325000,549,14,2
2,8000000,1000,69,2
4,14500000,1050,94,3
6,13500000,1700,11,3
5,3250000,580,126,1
5,5540000,1052,59,2
3,21500000,1530,20,3
4,26500000,831,6,2
2,59500000,620,41,1
6,5500000,1010,18,2
4,10300000,1020,7,2
2,16500000,1500,22,3
5,19000000,1097,23,2
6,11500000,1592,21,3
4,16500000,2034,17,3
2,25000000,941,18,2
2,9250000,770,80,2
4,3450000,800,94,2
2,51900000,2780,8,4
2,18000000,310,37,1
6,11000000,1525,6,3
4,5200000,1110,11,3
5,2450000,550,136,1
5,7309999,1551,117,3
4,3200000,780,40,2
4,4992000,826,85,2
2,4550000,500,88,1
4,4900000,730,148,2
2,16000000,640,35,1
2,25000000,1155,7,2
4,3835000,1350,82,2
4,7100000,720,55,2
2,12000000,1500,22,3
2,70000000,602,7,1
4,7738000,970,6,2
2,22500000,645,78,1
4,3350000,1045,19,3
5,9549000,1345,28,3
4,3700000,2020,7,2
4,8500000,1730,6,3
2,5200000,1390,37,3
1,8500000,1800,16,3
5,7483000,1200,37,2
4,5000000,1040,7,3
2,8700000,788,8,3
4,5365000,1101,86,3
6,4400000,1100,133,2
5,3274000,1880,71,3
3,5200000,1250,14,2
4,8043000,935,19,2
2,22000000,881,22,2
5,34800000,1889,117,3
4,4653000,1245,7,3
1,18500000,1650,20,3
4,7040000,1316,17,3
6,12200000,1740,21,3
2,31200000,1240,69,2
2,4500000,650,69,1
4,5500000,1068,54,3
6,6500000,1200,9,2
5,7000000,1210,19,3
3,2899000,1467,13,3
1,24500000,1550,31,3
6,7317000,1090,21,2
1,6850000,1100,21,3
4,2300000,1100,17,3
4,4400000,2520,31,4
5,4768000,845,109,2
4,12000000,1883,86,3
5,2234000,604,59,2
6,5700000,1800,87,2
6,3800000,1050,24,2
6,3300000,930,24,2
5,3233000,1210,7,2
2,4100000,650,35,1
5,4797000,1170,83,3
4,3400000,940,17,2
3,9400000,1204,14,2
5,9225000,967,52,2
4,4024000,900,17,2
5,6033000,1277,96,3
4,8500000,1840,2,3
1,11500000,1050,26,2
4,6000000,742,11,2
4,7727000,1424,6,3
2,5200000,1070,84,2
2,101800000,1500,8,3
5,8413000,1592,71,3
2,26800000,1278,22,2
5,2896000,2000,2,3
4,6497000,1550,2,3
6,32799999,4375,5,5
4,3032000,826,85,2
1,8000000,520,46,1
2,6000000,1445,7,3
3,36000000,3895,18,4
5,7530000,1208,37,2
4,2822000,899,23,2
4,5400000,1010,7,2
2,41000000,1030,1,2
4,3400000,1415,5,3
5,5063000,1220,65,3
6,30000000,3000,2,3
6,9900000,1314,49,2
3,13400000,7500,24,6
5,3615999,882,83,2
2,2057000,447,22,1
4,7554000,1068,31,2
2,3811999,535,71,1
5,2627000,873,145,2
4,7800000,765,7,2
4,3256000,944,19,2
6,14700000,2191,9,3
5,3732000,700,49,2
2,5500000,580,80,1
5,8214000,700,136,2
4,3300000,745,7,3
5,8148999,1801,31,3
3,9100000,1216,21,3
6,6500000,1471,13,3
5,7903000,1354,84,2
2,13000000,1175,88,3
4,11399999,1455,19,3
5,2070000,700,36,2
4,2973000,860,7,3
2,41900000,2095,48,4
5,3854999,1099,52,3
5,25000000,1100,147,2
2,55400000,1174,8,3
6,10000000,1940,62,3
4,2394000,929,86,2
3,7798999,1039,14,1
3,4840000,1345,13,3
5,11399999,1290,56,2
1,4000000,700,56,2
2,2888000,700,100,1
2,7200000,860,39,1
4,4000000,3950,3,5
4,40000000,1212,31,3
2,6500000,650,29,1
5,6645999,1943,108,3
5,5444000,920,74,2
1,2500000,900,16,2
4,2000000,1067,86,2
6,9000000,1200,9,2
6,4600000,1100,35,2
4,4257000,1452,13,3
2,59500000,620,41,1
5,4907000,801,47,2
4,6555000,1707,21,3
5,6645999,1943,108,3
5,18500000,1564,37,3
4,4650000,1113,23,3
5,5335000,464,145,1
2,18000000,1100,17,2
5,6396000,984,3,2
2,5300000,560,80,1
4,6327000,1150,86,2
4,2200000,1200,10,2
4,4292000,5359,1,4
4,4000000,820,129,2
4,9790000,935,11,2
4,5306000,1345,6,3
5,7420000,706,38,2
6,15200000,2160,3,3
4,10700000,750,93,2
2,12000000,1250,8,3
6,29700000,3300,1,4
4,28000000,2200,6,3
4,6600000,1455,31,3
5,3800000,550,19,1
4,11399999,725,86,1
5,3461000,845,65,1
6,4800000,1230,21,2
2,14500000,1400,17,3
4,7500000,1757,6,3
2,2064000,962,100,2
4,2073999,890,17,2
4,3100000,748,7,3
2,15000000,1400,22,3
5,7500000,1276,61,2
4,3400000,1109,6,2
1,3800000,820,59,3
5,5475000,1658,117,3
2,22000000,1150,7,2
5,30700000,1444,117,3
5,3772000,815,8,2
6,12000000,1960,11,3
5,13700000,1938,168,3
4,2384000,829,13,2
6,5654000,1140,21,2
2,65000000,900,36,2
4,10500000,1663,6,3
1,4000000,520,46,1
4,4389000,5359,1,4
4,5767000,923,31,2
3,6761000,1355,27,3
4,5988000,1491,6,3
5,5737000,721,12,2
4,6600000,1150,180,3
2,21200000,950,35,2
5,40599999,1639,168,3
2,8400000,700,69,2
2,2500000,540,31,1
4,3200000,1047,6,3
3,6800000,3450,18,3
5,6740000,855,84,2
6,8400000,1208,21,2
6,50000000,3695,1,4
5,8303000,1444,117,3
4,7500000,1105,6,2
5,9130000,1254,108,2
2,6000000,660,78,1
4,3001000,917,19,2
5,2600000,1155,28,2
4,8800000,2452,86,4
2,17500000,685,37,1
3,6317000,1340,21,3
4,3900000,1065,123,2
4,2800000,922,86,2
2,55000000,1388,16,2
6,8200000,1650,32,3
4,2384000,1094,31,2
5,10700000,1025,12,2
5,59600000,2713,20,4
5,29400000,2102,17,3
4,8500000,1700,86,3
5,4400000,1150,132,3
4,3800000,999,13,3
4,12000000,1000,17,2
5,30000000,702,84,2
4,2700000,1451,6,3
5,3779999,620,6,1
2,120000000,3600,5,4
4,5500000,900,94,2
2,3600000,768,8,2
2,35500000,1400,8,2
5,54400000,2476,20,3
2,3500000,550,88,1
4,3800000,1500,46,3
4,7600000,3400,65,5
5,7052000,1085,8,2
1,4400000,1450,16,3
5,15100000,1000,153,2
1,3500000,516,29,1
5,5444000,831,74,2
4,2793000,1183,80,3
5,10200000,2044,24,3
6,6838000,1368,64,3
4,2524000,2048,17,4
3,6800000,1095,30,2
4,7900000,1520,86,3
5,5010000,1033,47,2
6,11200000,1460,101,3
4,2900000,1845,6,3
5,12900000,2250,117,3
2,8700000,788,8,3
6,4300000,1090,24,2
5,6569000,1296,117,3
5,3300000,2691,108,4
4,2200000,1133,86,2
3,3906000,1302,13,3
2,75000000,1750,2,3
4,2912000,1010,11,2
5,12900000,2250,117,3
4,2800000,997,13,3
6,9525000,1905,21,3
5,4500000,949,52,2
4,4872000,1450,13,3
3,34500000,2503,2,4
1,22000000,2200,51,3
6,9000000,1695,21,3
5,4032000,858,145,2
6,15000000,2120,3,3
5,6998999,1125,96,3
6,5500000,1010,18,2
4,3422000,1200,148,3
2,22400000,996,20,2
2,26000000,1000,7,1
2,14500000,1220,25,2
4,5082000,950,10,2
5,7000000,1443,117,3
2,85600000,1305,8,3
4,52000000,4995,1,4
2,8000000,1750,48,3
4,2025000,1150,6,2
5,7148999,1180,80,3
4,47000000,1268,11,3
2,13100000,1545,7,3
5,2082000,602,67,1
6,13500000,1765,38,3
4,110000000,2074,17,4
2,13000000,650,8,1
4,5500000,1100,22,3
2,55000000,800,22,2
5,8540000,1444,117,3
5,8924000,4736,117,4
1,27200000,1950,25,3
4,6169000,833,27,2
5,4887000,940,71,2
5,3404000,510,47,1
5,9733000,1749,71,3
4,4560000,888,13,3
4,6000000,1725,6,3
2,5000000,1220,69,2
6,4800000,1100,81,2
2,5800000,525,35,1
4,5000000,1030,26,2
5,5150000,952,144,2
4,5522000,1080,7,2
2,14300000,1104,3,3
2,12000000,560,48,2
6,4000000,1800,38,2
5,6343000,563,136,1
5,7503000,1345,28,3
3,48600000,2390,24,3
1,5000000,3200,52,4
1,2800000,850,16,2
4,5400000,1100,6,3
2,7900000,960,36,2
5,2840000,755,45,2
2,22000000,1100,37,2
5,5460000,2017,2,3
5,9840000,1562,74,3
2,12000000,957,60,2
4,4125000,770,7,3
4,2400000,840,93,2
2,22000000,881,22,2
1,3400000,1250,6,3
3,5322000,937,20,2
3,45000000,5300,11,5
5,5101000,892,60,2
4,4750000,1440,113,3
6,35800000,3430,3,4
4,7200000,897,6,2
3,8000000,645,25,1
5,3200000,865,125,2
5,2700000,1110,71,3
2,4500000,600,69,1
5,6366000,1130,23,3
4,4916000,826,85,2
2,4200000,759,35,1
5,4268000,928,145,2
4,2089999,1605,13,3
2,27900000,1613,7,4
3,8217000,1330,20,3
2,10000000,546,18,1
5,4500000,1913,131,3
4,14100000,1173,85,3
5,2573000,670,27,1
4,4356000,980,3,2
4,4500000,1173,13,3
1,19800000,1700,51,3
5,6998999,1125,96,3
4,2720000,1450,13,3
4,4500000,2620,86,4
4,6087000,943,6,2
4,2383000,750,22,2
2,33400000,1020,7,3
5,6183000,631,16,2
4,9790000,935,11,2
6,10000000,2000,56,3
4,7000000,972,6,1
2,4000000,635,69,1
3,6528000,2061,14,3
5,12000000,920,34,2
4,2299000,1400,6,3
6,12000000,2000,21,3
3,11800000,1345,93,1
2,20500000,675,69,1
5,90000000,3800,7,4
2,3500000,688,84,1
5,4335000,1345,28,3
1,2500000,1000,56,3
4,9754000,1535,6,3
4,4950000,1535,7,3
1,2723000,800,3,2
4,6400000,1135,31,3
2,15200000,1170,37,2
4,11000000,1535,80,3
2,41900000,2095,48,4
3,7798999,1039,14,1
5,6256000,1320,3,3
2,25000000,1155,7,2
4,10000000,1100,7,3
6,14600000,1953,4,2
2,2700000,1150,18,2
3,6325000,1270,5,3
6,14600000,1945,4,3
6,12500000,3405,5,3
3,13600000,866,11,2
4,5200000,1337,6,3
5,6300000,1363,89,3
5,5400000,1400,50,3
4,3000000,965,22,2
4,5200000,1110,11,3
6,16000000,1662,4,3
1,6000000,1000,20,2
5,6333000,1092,73,2
2,10000000,700,69,2
4,4140000,1121,162,3
4,7300000,1454,86,3
3,6017000,1266,14,2
2,22500000,645,48,1
4,9985000,1707,21,3
4,58300000,1050,17,2
4,2604000,1250,6,3
4,5900000,996,13,3
2,5700000,340,48,1
4,2900000,1500,22,3
4,14600000,1605,13,3
3,6150000,6200,3,4
5,3800000,790,52,2
